#{"t_start": 1775368365.7121854, "env_id": "None"}
r,l,t
68.845393,325,5.35779
81.416231,311,6.241127
56.685472,312,7.17092
80.640316,311,8.264968
52.927922,310,9.093722
68.442726,311,9.967265
86.54526,308,12.791828
69.029773,308,13.857744
101.878944,303,15.103924
92.150428,302,16.310732
76.796992,303,17.400805
91.206384,312,18.589572
73.130842,302,19.742643
92.857334,307,22.831885
106.308411,300,24.085998
94.217513,307,25.242851
91.253204,300,26.370016
97.779337,300,27.604588
105.944743,306,28.874769
121.4398,315,31.681236
79.027743,312,32.837483
257.43426,305,33.755523
94.04788,310,35.004527
107.846234,306,36.182956
88.810242,299,37.33512
93.458324,313,38.48582
98.184514,308,41.602731
103.493834,314,42.782679
98.648099,311,44.009926
94.277701,308,45.302361
103.121671,302,46.493839
102.027953,305,47.712661
108.988963,306,48.833354
98.00141,308,51.774146
104.812901,316,52.966885
93.81287,309,54.179383
102.460711,314,55.437711
95.806145,311,56.590219
101.35923,311,57.852624
138.215073,308,60.698557
86.123823,304,61.875172
191.054073,312,62.810624
245.450475,305,63.766444
89.147169,312,64.985178
99.781506,310,66.235209
93.680094,305,67.407214
105.720614,311,70.17832
94.403438,306,71.353096
90.055917,318,72.68935
157.642499,317,73.838993
179.240464,313,75.079734
100.365176,307,76.410142
91.854536,313,77.785562
286.23029,324,81.083484
258.718033,307,82.101206
273.742732,311,83.017617
134.729001,318,84.163074
96.640674,315,85.361691
238.229461,315,86.461688
257.809085,313,89.078183
151.956235,305,90.014446
254.487069,313,91.031405
341.452242,316,91.957287
303.683653,307,92.811686
249.867806,312,93.73488
290.830156,311,94.633777
288.568203,319,97.247566
291.287406,318,98.21638
346.927958,319,99.207491
293.957967,323,100.185713
303.006765,315,101.143851
204.608757,312,102.16394
298.626866,302,104.966112
363.533439,313,105.885877
294.231554,315,106.863733
217.388249,322,107.802047
361.595113,313,108.696343
304.486189,318,109.739349
110.013187,306,110.886806
374.605508,316,113.469379
295.824589,315,114.447427
340.788739,319,115.459796
418.716737,313,116.323878
212.559723,319,117.453537
418.683546,312,118.396061
407.701492,305,120.907921
401.843863,313,121.841455
351.932375,309,122.808738
393.741449,312,123.784909
300.568788,317,124.809056
359.837214,312,125.687558
383.188041,316,126.66119
404.737629,314,129.254357
405.832743,312,130.256326
431.395453,317,131.223588
465.591094,313,132.119694
352.996837,313,133.020112
376.094802,315,134.012049
452.450526,314,136.575137
491.773204,313,137.486113
519.617285,305,138.356987
464.979911,314,139.3064
464.291418,318,140.232301
450.829263,316,141.218333
483.220734,314,142.077674
449.874995,309,144.817858
233.966523,316,145.906328
485.67907,309,146.845283
330.734386,315,147.888324
445.388301,317,148.847051
535.688474,317,149.706707
544.602952,312,152.376404
587.839899,317,153.268746
525.522131,311,154.18247
517.5269,312,155.163942
567.037829,313,156.003306
445.672442,315,157.014639
507.992357,304,157.885188
530.100336,305,160.467524
583.035742,307,161.327849
553.306207,313,162.245506
638.338684,310,163.184043
598.590079,315,164.160858
498.676761,314,165.071192
557.091134,308,167.644633
621.311687,311,168.612347
466.145957,308,169.655701
585.273806,312,170.691483
590.365578,313,171.725148
616.237735,303,172.70781
573.208108,304,173.530115
612.017558,308,176.406765
598.308933,302,177.466477
606.888544,311,178.437861
640.996502,305,179.465518
548.119147,307,180.425363
588.650642,305,181.305919
647.055692,303,182.199266
625.323306,312,184.706345
559.077216,307,185.654664
561.452701,302,186.502433
473.272745,318,187.397047
640.773548,312,188.221494
636.701849,303,189.155484
654.525924,307,191.657512
665.17544,298,192.602868
647.059539,303,193.510065
702.711282,299,194.421853
691.634737,298,195.292356
427.389947,304,196.209285
576.459044,310,197.247606
633.7964,304,200.003062
590.288406,299,200.907741
661.285665,297,201.673474
683.924717,300,202.531567
712.758727,306,203.437074
664.41595,307,204.360611
763.270823,300,205.255961
747.1677,301,207.743615
726.05576,300,208.73968
674.33113,300,209.717336
779.255035,303,210.716536
729.000677,301,211.602501
687.697945,307,212.460896
673.911621,295,213.315472
684.540312,301,215.747413
727.754822,302,216.664267
761.728999,292,217.55255
760.745122,302,218.429051
762.5495,299,219.285246
698.93697,308,220.143913
769.495639,307,221.162684
679.580025,295,224.269465
741.747771,297,225.190216
758.631837,307,226.085324
711.768948,304,226.890182
712.935732,304,227.711861
737.748064,307,228.599255
756.339827,301,231.134832
763.716816,296,232.152366
689.07079,298,233.045988
802.731271,293,234.001967
771.474398,298,234.860262
480.290426,317,235.80014
758.341857,302,236.704712
773.84114,295,239.129975
749.986815,293,240.026372
755.623925,298,240.891692
768.338998,299,241.77776
777.798347,302,242.671355
766.167653,298,243.592415
750.710602,300,244.510061
693.120776,303,247.085209
846.881001,294,248.105918
653.717913,306,249.124479
774.30894,302,250.116004
792.00066,294,250.974349
778.747629,300,251.704548
766.443918,301,252.499477
816.756167,299,254.930736
767.630184,295,255.804186
753.661554,295,256.664841
817.418114,293,257.554223
807.131561,301,258.437978
811.025276,298,259.377535
819.511881,295,260.225256
833.005079,292,262.664443
